Protocolo,Cenario,Repeticao,Duracao(s),Throughput(KB/s)
TCP,A,1,0.081539,9974.4256
TCP,A,2,0.081279,9275.6316
TCP,A,3,0.201362,4251.9815
TCP,A,4,0.078797,12074.3413
TCP,A,5,0.080888,9329.1612
TCP,A,6,0.08039,10269.176
TCP,A,7,0.079618,11932.0733
TCP,A,8,0.085646,10372.2737
TCP,A,9,0.079505,11860.1031
TCP,A,10,0.088778,10514.9925
TCP,A,11,0.082709,10277.8454
TCP,A,12,0.080037,12158.0488
TCP,A,13,0.080565,12019.9916
TCP,A,14,0.0819,11121.7949
TCP,A,15,0.082142,9193.3976
TCP,A,16,0.082701,11014.0748
TCP,A,17,0.081308,10713.5061
TCP,A,18,0.080018,10941.5811
TCP,A,19,0.080135,9337.4657
TCP,A,20,0.13543,5340.5126
TCP,B,1,0.463576,1974.0392
TCP,B,2,3.901082,229.8681
TCP,B,3,5.493451,163.4375
TCP,B,4,5.686578,159.236
TCP,B,5,7.385732,120.4571
TCP,B,6,1.319003,685.2181
TCP,B,7,5.793254,152.8367
TCP,B,8,3.182502,274.6611
TCP,B,9,7.953711,112.1008
TCP,B,10,4.394539,203.4379
TCP,B,11,10.216825,86.3863
TCP,B,12,5.924601,148.6585
TCP,B,13,6.090334,144.5605
TCP,B,14,7.397823,120.4746
TCP,B,15,5.77959,155.4433
TCP,B,16,8.29755,108.7539
TCP,B,17,6.716539,132.4587
TCP,B,18,6.316985,142.1799
TCP,B,19,7.40551,120.8992
TCP,B,20,1.527526,557.4271
TCP,C,1,22.324212,39.9787
TCP,C,2,19.769309,45.2169
TCP,C,3,25.105143,35.0996
TCP,C,4,23.619244,38.4383
TCP,C,5,17.420649,50.4798
TCP,C,6,24.627946,36.3786
TCP,C,7,31.098425,28.9718
TCP,C,8,21.821354,40.1871
TCP,C,9,24.812742,36.1401
TCP,C,10,22.816647,38.806
TCP,C,11,18.156422,50.4797
TCP,C,12,23.836525,37.5015
TCP,C,13,28.209643,31.8383
TCP,C,14,25.653877,35.1205
TCP,C,15,29.673218,29.6582
TCP,C,16,28.570285,30.892
TCP,C,17,22.536404,39.4768
TCP,C,18,20.369485,44.4399
TCP,C,19,25.990999,34.0121
TCP,C,20,6.928514,138.4068
